num_points,true_distance,epsilon,sample_size,Method1_avg_time,Method2_avg_time,Method1_accuracy,Method2_accuracy
100000,0.12046,0.45,5,0.00051532,0.00160745,7,90
100000,0.12046,0.4,5,0.00052493,0.00167518,7,93
100000,0.12046,0.35,6,0.00052629,0.0015676,27,95
100000,0.12046,0.3,7,0.00053601,0.00142954,30,96
100000,0.12046,0.25,8,0.00053424,0.00130429,36,97
100000,0.12046,0.2,10,0.00055197,0.00105843,58,98
100000,0.12046,0.15,14,0.00056266,0.00095573,66,100
100000,0.12046,0.1,20,0.00058845,0.00088853,87,100
100000,0.12046,0.05,41,0.00072656,0.00074087,99,100
100000,0.12971,0.5,4,0.00051748,0.00170324,7,67
100000,0.12971,0.45,5,0.0005124,0.00171895,12,79
100000,0.12971,0.4,5,0.00051685,0.00170898,8,76
100000,0.12971,0.35,6,0.00051757,0.00156487,15,74
100000,0.12971,0.3,7,0.00052732,0.00150308,29,87
100000,0.12971,0.25,8,0.00054602,0.00138237,37,88
100000,0.12971,0.2,10,0.00054554,0.00118303,40,90
100000,0.12971,0.15,14,0.00055744,0.000953220000000001,71,99
100000,0.12971,0.1,20,0.00058493,0.00098082,86,100
100000,0.12971,0.05,41,0.00072585,0.0007781,100,100
100000,0.13967,0.5,4,0.00051943,0.00174574,3,87
100000,0.13967,0.45,5,0.00051722,0.00162437,11,95
100000,0.13967,0.4,5,0.00052215,0.0016569,15,92
100000,0.13967,0.35,6,0.00052419,0.00167982,17,90
100000,0.13967,0.3,7,0.0005453,0.00152311,30,96
100000,0.13967,0.25,8,0.00053503,0.00124139,38,97
100000,0.13967,0.2,10,0.00059034,0.00115589,58,99
100000,0.13967,0.15,14,0.00056654,0.00089919,81,100
100000,0.13967,0.1,20,0.00058911,0.00080016,91,100
100000,0.13967,0.05,41,0.00074447,0.00076279,100,100
100000,0.15642,0.5,4,0.00051756,0.00179081,4,66
100000,0.15642,0.45,5,0.00051394,0.00170468,15,84
100000,0.15642,0.4,5,0.00051596,0.0016924,18,78
100000,0.15642,0.35,6,0.00052015,0.00152535,23,88
100000,0.15642,0.3,7,0.00052526,0.00146138,26,89
100000,0.15642,0.25,8,0.00053462,0.00142302,39,90
100000,0.15642,0.2,10,0.00054052,0.00104468,49,96
100000,0.15642,0.15,14,0.00055517,0.00087366,70,99
