num_points,true_distance,epsilon,sample_size,Method1_avg_time,Method2_avg_time,Method1_accuracy,Method2_accuracy
100000,0.00611,0.5,40,0.00076434,0.00185918,23,50
100000,0.00611,0.45,45,0.00081754,0.00189667,25,43
100000,0.00611,0.4,50,0.00089637,0.00197643,19,35
100000,0.00611,0.35,58,0.00102382,0.00202084,25,49
100000,0.00611,0.3,67,0.00122429,0.00220075,34,51
100000,0.00611,0.25,80,0.00140753,0.00236745,41,51
100000,0.00611,0.2,100,0.00174743,0.00247521,43,56
100000,0.00611,0.15,134,0.00216243,0.00277636,55,67
100000,0.00611,0.1,201,0.00291483,0.00349354,77,76
100000,0.00611,0.05,401,0.00570899,0.00578703,95,95
100000,0.01654,0.5,40,0.00073291,0.00147755,45,59
100000,0.01654,0.45,45,0.00081065,0.00138688,53,63
100000,0.01654,0.4,50,0.00093626,0.0013839,55,71
100000,0.01654,0.35,58,0.00097055,0.0015705,52,65
100000,0.01654,0.3,67,0.00115208,0.00159102,72,76
100000,0.01654,0.25,80,0.0014154,0.00175264,74,81
100000,0.01654,0.2,100,0.00166906,0.0019896,83,88
100000,0.01654,0.15,134,0.00211759,0.00233744,86,87
100000,0.01654,0.1,201,0.00310552,0.00309643,97,99
100000,0.01654,0.05,401,0.00594899,0.00642176,100,100
100000,0.01873,0.5,40,0.00073995,0.00139685,59,64
100000,0.01873,0.45,45,0.00077726,0.00146878,55,68
100000,0.01873,0.4,50,0.00082549,0.00148435,61,69
100000,0.01873,0.35,58,0.00096084,0.00160702,65,65
100000,0.01873,0.3,67,0.00110665,0.00157406,71,72
100000,0.01873,0.25,80,0.00134852,0.00160141,76,87
100000,0.01873,0.2,100,0.0015531,0.00187099,82,86
100000,0.01873,0.15,134,0.00187952,0.00194478,95,97
100000,0.01873,0.1,201,0.00263638,0.00269094,97,99
100000,0.01873,0.05,401,0.00503194,0.00522535,100,100
100000,0.0352,0.5,40,0.00068075,0.00097757,78,81
100000,0.0352,0.45,45,0.00068198,0.00098553,68,84
100000,0.0352,0.4,50,0.00076528,0.00101211,79,85
100000,0.0352,0.35,58,0.00089232,0.00109176,87,89
100000,0.0352,0.3,67,0.00100129,0.00128774,87,89
100000,0.0352,0.25,80,0.00132603,0.00147524,89,95
100000,0.0352,0.2,100,0.00160003,0.00169723,96,97
100000,0.0352,0.15,134,0.00209546,0.00209577,98,99
100000,0.0352,0.1,201,0.00310598,0.00304307,100,100
100000,0.0352,0.05,401,0.00626649,0.00597697,100,100
100000,0.03592,0.5,40,0.00065616,0.00103144,71,81
100000,0.03592,0.45,45,0.00072466,0.00112127,75,76
100000,0.03592,0.4,50,0.00076668,0.00105434,80,82
100000,0.03592,0.35,58,0.00085685,0.00107294,79,90
100000,0.03592,0.3,67,0.00107819,0.00121503,93,94
100000,0.03592,0.25,80,0.00134277,0.00142275,93,95
100000,0.03592,0.2,100,0.00167517,0.00164068,95,98
100000,0.03592,0.15,134,0.00202471,0.0020435,100,100
100000,0.03592,0.1,201,0.00297713,0.00304299,100,100
100000,0.03592,0.05,401,0.00600038,0.00645862,100,100
100000,0.0381,0.5,40,0.00065983,0.00097849,67,84
100000,0.0381,0.45,45,0.00072173,0.0010725,75,80
100000,0.0381,0.4,50,0.00077695,0.00110206,88,81
100000,0.0381,0.35,58,0.00087694,0.00105763,86,91
100000,0.0381,0.3,67,0.00105429,0.00118336,89,94
100000,0.0381,0.25,80,0.00133392,0.00140256,92,95
100000,0.0381,0.2,100,0.00162655,0.00164558,93,98
100000,0.0381,0.15,134,0.00201644,0.00219373,98,99
100000,0.0381,0.1,201,0.00320131,0.00297872,100,100
100000,0.0381,0.05,401,0.00655625,0.00639879,100,100
100000,0.05146,0.5,40,0.00070693,0.00087792,76,92
100000,0.05146,0.45,45,0.00075126,0.00086567,87,94
100000,0.05146,0.4,50,0.00080522,0.00087744,93,95
100000,0.05146,0.35,58,0.00089336,0.00094276,96,97
100000,0.05146,0.3,67,0.00103529,0.00110333,96,99
100000,0.05146,0.25,80,0.00136392,0.00135389,95,99
100000,0.05146,0.2,100,0.00147225,0.00151088,99,100
100000,0.05146,0.15,134,0.00185311,0.00187123,100,100
100000,0.05146,0.1,201,0.00264514,0.00265268,100,100
100000,0.05146,0.05,401,0.00510662,0.00533795,100,100
100000,0.07059,0.5,40,0.00069598,0.00085615,86,91
100000,0.07059,0.45,45,0.00072673,0.00086634,95,93
100000,0.07059,0.4,50,0.00079523,0.00091601,95,94
100000,0.07059,0.35,58,0.0009083,0.00096681,97,97
100000,0.07059,0.3,67,0.00108551,0.00112316,99,98
100000,0.07059,0.25,80,0.00139458,0.00137321,100,100
100000,0.07059,0.2,100,0.0016397,0.00159206,100,100
100000,0.07059,0.15,134,0.00215933,0.00204735,99,100
100000,0.07059,0.1,201,0.00289223,0.00301398,100,100
100000,0.07059,0.05,401,0.00641782,0.00601648,100,100
100000,0.11882,0.5,40,0.0007051,0.00072376,99,99
100000,0.11882,0.45,45,0.00075481,0.00073726,100,100
100000,0.11882,0.4,50,0.00080346,0.00080054,100,100
100000,0.11882,0.35,58,0.00091567,0.00091019,100,100
100000,0.11882,0.3,67,0.00106045,0.00106382,100,100
100000,0.11882,0.25,80,0.00136659,0.0013495,100,100
100000,0.11882,0.2,100,0.00159341,0.00152003,100,100
100000,0.11882,0.15,134,0.00194959,0.0019516,100,100
100000,0.11882,0.1,201,0.00281437,0.00279859,100,100
100000,0.11882,0.05,401,0.00523637,0.00570528,100,100
100000,0.12046,0.5,40,0.00069523,0.00068546,100,100
100000,0.12046,0.45,45,0.00073784,0.00079306,100,100
100000,0.12046,0.4,50,0.00079328,0.00080717,100,100
100000,0.12046,0.35,58,0.000901710000000001,0.00089567,100,100
100000,0.12046,0.3,67,0.00106607,0.00106076,100,100
100000,0.12046,0.25,80,0.00129708,0.00134793,100,100
100000,0.12046,0.2,100,0.00147841,0.00152682,100,100
100000,0.12046,0.15,134,0.00191154,0.00190706,100,100
100000,0.12046,0.1,201,0.00277044,0.00276497,100,100
100000,0.12046,0.05,401,0.00523831,0.00545827,100,100
100000,0.12971,0.5,40,0.00069891,0.00071486,100,99
100000,0.12971,0.45,45,0.00076747,0.00075906,99,100
100000,0.12971,0.4,50,0.00079697,0.00078835,100,100
100000,0.12971,0.35,58,0.0009043,0.00090417,100,100
100000,0.12971,0.3,67,0.00104092,0.00108755,100,100
100000,0.12971,0.25,80,0.00132471,0.00134408,100,100
100000,0.12971,0.2,100,0.0015151,0.00151619,100,100
100000,0.12971,0.15,134,0.00203453,0.00194056,100,100
100000,0.12971,0.1,201,0.00271527,0.00286647,100,100
100000,0.12971,0.05,401,0.0055484,0.00514831,100,100
100000,0.13967,0.5,40,0.00069456,0.00068293,99,100
100000,0.13967,0.45,45,0.00073988,0.00073391,100,100
100000,0.13967,0.4,50,0.00080646,0.0007956,100,100
100000,0.13967,0.35,58,0.00089712,0.00090494,100,100
100000,0.13967,0.3,67,0.00102798,0.00103129,100,100
100000,0.13967,0.25,80,0.00135031,0.00131588,100,100
100000,0.13967,0.2,100,0.00167601,0.00155309,100,100
100000,0.13967,0.15,134,0.00189954,0.00190013,100,100
100000,0.13967,0.1,201,0.00263237,0.00259761,100,100
100000,0.13967,0.05,401,0.00503656,0.00509495,100,100
100000,0.15642,0.5,40,0.00071156,0.0007426,100,100
100000,0.15642,0.45,45,0.00074594,0.00078949,100,99
100000,0.15642,0.4,50,0.00079615,0.00079681,100,100
100000,0.15642,0.35,58,0.00091204,0.00091694,100,100
100000,0.15642,0.3,67,0.00107649,0.00107148,100,100
100000,0.15642,0.25,80,0.00128284,0.00133295,100,100
100000,0.15642,0.2,100,0.00154777,0.00156926,100,100
100000,0.15642,0.15,134,0.00186841,0.00190671,100,100
100000,0.15642,0.1,201,0.00263845,0.00265682,100,100
100000,0.15642,0.05,401,0.00548376,0.00537478,100,100
100000,0.17389,0.5,40,0.00069504,0.00069548,100,100
100000,0.17389,0.45,45,0.00073089,0.00075306,100,100
100000,0.17389,0.4,50,0.00081686,0.00080753,100,100
100000,0.17389,0.35,58,0.00089688,0.00091801,100,100
100000,0.17389,0.3,67,0.00106023,0.00104181,100,100
100000,0.17389,0.25,80,0.00133737,0.00131479,100,100
100000,0.17389,0.2,100,0.00151028,0.00150218,100,100
100000,0.17389,0.15,134,0.00183142,0.0018859,100,100
100000,0.17389,0.1,201,0.00255618,0.00268352,100,100
100000,0.17389,0.05,401,0.00495232,0.00497703,100,100
100000,0.18452,0.5,40,0.00073458,0.0006912,100,100
100000,0.18452,0.45,45,0.00073272,0.00074969,100,100
100000,0.18452,0.4,50,0.00079766,0.00080621,100,100
100000,0.18452,0.35,58,0.00092033,0.00090939,100,100
100000,0.18452,0.3,67,0.0010571,0.00104068,100,100
100000,0.18452,0.25,80,0.0012897,0.00131669,100,100
100000,0.18452,0.2,100,0.00148944,0.00149953,100,100
100000,0.18452,0.15,134,0.00193262,0.00185993,100,100
100000,0.18452,0.1,201,0.00264896,0.00253842,100,100
100000,0.18452,0.05,401,0.00506473,0.00506322,100,100
100000,0.21604,0.5,40,0.00069968,0.00068371,100,100
100000,0.21604,0.45,45,0.00074904,0.00073117,100,100
100000,0.21604,0.4,50,0.00081234,0.00078503,100,100
100000,0.21604,0.35,58,0.00091707,0.0008992,100,100
100000,0.21604,0.3,67,0.00103685,0.00106357,100,100
100000,0.21604,0.25,80,0.00126493,0.0012768,100,100
100000,0.21604,0.2,100,0.00154791,0.00146214,100,100
100000,0.21604,0.15,134,0.00188428,0.00178986,100,100
100000,0.21604,0.1,201,0.00261672,0.00255803,100,100
100000,0.21604,0.05,401,0.00478413,0.00491126,100,100
100000,0.24984,0.5,40,0.00069063,0.0006779,100,100
100000,0.24984,0.45,45,0.00073806,0.00074874,100,100
100000,0.24984,0.4,50,0.00079374,0.00080649,100,100
100000,0.24984,0.35,58,0.00090416,0.00089811,100,100
100000,0.24984,0.3,67,0.00105819,0.00103701,100,100
100000,0.24984,0.25,80,0.00128536,0.00131667,100,100
100000,0.24984,0.2,100,0.00147135,0.0015307,100,100
