num_points,true_distance,epsilon,sample_size,Method1_avg_time,Method2_avg_time,Method1_accuracy,Method2_accuracy
5000,4.37269525353134,0.5,40,0.00080093,0.00098685,100,75
5000,4.37269525353134,0.45,45,0.000852,0.00103112,100,69
5000,4.37269525353134,0.4,50,0.00094564,0.00113343,100,85
5000,4.37269525353134,0.35,58,0.00103935,0.00120484,100,70
5000,4.37269525353134,0.3,67,0.00125217,0.00145779,100,77
5000,4.37269525353134,0.25,80,0.00149299,0.00174546,100,79
5000,4.37269525353134,0.2,100,0.00190245,0.00197376,100,89
5000,4.37269525353134,0.15,134,0.00232723,0.00240125,100,71
5000,4.37269525353134,0.1,201,0.00326925,0.00348784,100,84
5000,4.37269525353134,0.05,401,0.00707401,0.00715594,100,79
10000,4.52672993115115,0.5,40,0.00079864,0.00102669,100,73
10000,4.52672993115115,0.45,45,0.00081342,0.00105097,100,81
10000,4.52672993115115,0.4,50,0.00091618,0.00112701,100,79
10000,4.52672993115115,0.35,58,0.00103672,0.0012361,100,71
10000,4.52672993115115,0.3,67,0.00122771,0.00146012,100,79
10000,4.52672993115115,0.25,80,0.00144883,0.00166875,100,78
10000,4.52672993115115,0.2,100,0.00169798,0.00196085,100,85
10000,4.52672993115115,0.15,134,0.0021684,0.00243295,100,83
10000,4.52672993115115,0.1,201,0.00323934,0.00353102,100,84
10000,4.52672993115115,0.05,401,0.00639918,0.00709055,100,70
15000,0.00363701233056682,0.5,40,0.0007631,0.00104009,100,78
15000,0.00363701233056682,0.45,45,0.00081251,0.00110771,100,71
15000,0.00363701233056682,0.4,50,0.00091854,0.0011529,100,81
15000,0.00363701233056682,0.35,58,0.00101723,0.00135395,100,78
15000,0.00363701233056682,0.3,67,0.00125281,0.00159885,100,73
15000,0.00363701233056682,0.25,80,0.0014716,0.00173976,100,82
15000,0.00363701233056682,0.2,100,0.0017574,0.0019986,100,75
15000,0.00363701233056682,0.15,134,0.00226234,0.00256555,100,74
15000,0.00363701233056682,0.1,201,0.00323973,0.00375848,100,73
15000,0.00363701233056682,0.05,401,0.00703029,0.00735913,100,90
20000,4.3422946195393,0.5,40,0.00075491,0.00110978,100,81
20000,4.3422946195393,0.45,45,0.00082556,0.0011777,100,75
20000,4.3422946195393,0.4,50,0.00089289,0.00123797,100,76
20000,4.3422946195393,0.35,58,0.00103655,0.00147916,100,76
20000,4.3422946195393,0.3,67,0.0012938,0.00160328,100,78
20000,4.3422946195393,0.25,80,0.00147672,0.00177165,100,79
20000,4.3422946195393,0.2,100,0.00173448,0.00218662,100,82
20000,4.3422946195393,0.15,134,0.00226204,0.00263569,100,81
20000,4.3422946195393,0.1,201,0.00332575,0.00372157,100,84
20000,4.3422946195393,0.05,401,0.00676322,0.0075564,100,76
25000,3.28300754981205,0.5,40,0.00075542,0.00126299,100,81
25000,3.28300754981205,0.45,45,0.00081367,0.00122762,100,71
25000,3.28300754981205,0.4,50,0.00089907,0.00133579,100,79
25000,3.28300754981205,0.35,58,0.00103796,0.00143361,100,78
25000,3.28300754981205,0.3,67,0.00123435,0.00163007,100,79
25000,3.28300754981205,0.25,80,0.0014083,0.00184641,100,80
25000,3.28300754981205,0.2,100,0.00174513,0.00216592,100,89
