num_points,true_distance,epsilon,sample_size,Method1_avg_time,Method2_avg_time,Method1_accuracy,Method2_accuracy
100000,0.00611,0.5,20,0.0006123,0.00189639,11,36
100000,0.00611,0.45,23,0.00063435,0.00184186,6,44
100000,0.00611,0.4,25,0.00066325,0.00189356,14,47
100000,0.00611,0.35,29,0.00065873,0.00186507,14,50
100000,0.00611,0.3,34,0.00070909,0.00184497,11,50
100000,0.00611,0.25,40,0.00081237,0.0020135,20,45
100000,0.00611,0.2,50,0.00092629,0.00190001,19,62
100000,0.00611,0.15,67,0.00123313,0.00226433,34,53
100000,0.00611,0.1,101,0.00171011,0.00251097,38,64
100000,0.00611,0.05,201,0.00291562,0.00361975,73,83
100000,0.01654,0.5,20,0.00059067,0.0016444,20,46
100000,0.01654,0.45,23,0.00061027,0.00162114,19,57
100000,0.01654,0.4,25,0.00060958,0.00152651,28,56
100000,0.01654,0.35,29,0.0006355,0.0016192,34,62
100000,0.01654,0.3,34,0.0006814,0.00165242,42,66
100000,0.01654,0.25,40,0.00074422,0.00142182,43,76
100000,0.01654,0.2,50,0.00086418,0.00148351,56,76
100000,0.01654,0.15,67,0.00115658,0.00167575,70,85
100000,0.01654,0.1,101,0.00175261,0.0020012,82,92
100000,0.01654,0.05,201,0.00306511,0.00302741,99,98
100000,0.01873,0.5,20,0.00059787,0.00154461,22,54
100000,0.01873,0.45,23,0.00060854,0.00166938,33,60
100000,0.01873,0.4,25,0.0006369,0.00147071,29,68
100000,0.01873,0.35,29,0.00064859,0.00150737,43,62
100000,0.01873,0.3,34,0.00068818,0.00150518,40,67
100000,0.01873,0.25,40,0.00076551,0.00147521,37,71
100000,0.01873,0.2,50,0.00085653,0.00147343,61,80
100000,0.01873,0.15,67,0.00108245,0.00163983,78,80
100000,0.01873,0.1,101,0.00153265,0.00192973,86,93
100000,0.01873,0.05,201,0.00255144,0.00270364,99,99
100000,0.0352,0.5,20,0.00057441,0.0014347,40,41
100000,0.0352,0.45,23,0.0005591,0.00129295,46,58
100000,0.0352,0.4,25,0.00058114,0.0012182,44,66
100000,0.0352,0.35,29,0.00059095,0.00115488,45,66
100000,0.0352,0.3,34,0.00063013,0.00121922,55,66
100000,0.0352,0.25,40,0.00073298,0.00116802,67,70
100000,0.0352,0.2,50,0.00077837,0.00114124,78,87
100000,0.0352,0.15,67,0.00108489,0.0012265,88,91
100000,0.0352,0.1,101,0.00166902,0.00173025,97,97
100000,0.0352,0.05,201,0.00307849,0.00312458,100,100
100000,0.03592,0.5,20,0.00056244,0.00136157,40,46
100000,0.03592,0.45,23,0.00058716,0.00130163,46,53
100000,0.03592,0.4,25,0.00059503,0.00129867,46,57
100000,0.03592,0.35,29,0.00062928,0.00134171,56,57
100000,0.03592,0.3,34,0.00062967,0.00110666,60,81
100000,0.03592,0.25,40,0.00068718,0.00115427,66,73
100000,0.03592,0.2,50,0.00076393,0.00117613,77,81
100000,0.03592,0.15,67,0.00110282,0.00128831,93,90
100000,0.03592,0.1,101,0.00167425,0.00164426,97,98
100000,0.03592,0.05,201,0.00307536,0.0032436,100,100
100000,0.0381,0.5,20,0.00055941,0.00134463,32,57
100000,0.0381,0.45,23,0.00056569,0.00133538,45,54
100000,0.0381,0.4,25,0.00059435,0.00125424,39,64
100000,0.0381,0.35,29,0.0006016,0.00116671,53,70
100000,0.0381,0.3,34,0.00064238,0.00119536,68,75
100000,0.0381,0.25,40,0.00067747,0.00103016,73,85
100000,0.0381,0.2,50,0.00076515,0.00103352,74,89
100000,0.0381,0.15,67,0.00109532,0.0012204,88,94
100000,0.0381,0.1,101,0.00166615,0.00171075,99,100
100000,0.0381,0.05,201,0.00306575,0.00311954,100,100
100000,0.05146,0.5,20,0.00059946,0.0010832,50,74
100000,0.05146,0.45,23,0.00058992,0.00115403,55,86
100000,0.05146,0.4,25,0.00059917,0.00112317,60,88
100000,0.05146,0.35,29,0.00063284,0.00094635,79,91
100000,0.05146,0.3,34,0.00066026,0.00096955,71,86
100000,0.05146,0.25,40,0.00072689,0.0009124,83,93
100000,0.05146,0.2,50,0.00082584,0.0009783,94,97
100000,0.05146,0.15,67,0.00107837,0.00107062,98,99
100000,0.05146,0.1,101,0.00151332,0.00151537,99,100
100000,0.05146,0.05,201,0.00273631,0.00256983,100,100
100000,0.07059,0.5,20,0.00057566,0.00102974,61,77
100000,0.07059,0.45,23,0.00058366,0.00102727,71,81
100000,0.07059,0.4,25,0.00059786,0.00100537,71,78
100000,0.07059,0.35,29,0.00062744,0.0008825,78,90
100000,0.07059,0.3,34,0.00065061,0.00088921,85,92
100000,0.07059,0.25,40,0.00070879,0.00086218,85,94
100000,0.07059,0.2,50,0.00081492,0.00088858,95,98
100000,0.07059,0.15,67,0.00109114,0.00111944,99,99
100000,0.07059,0.1,101,0.00164049,0.00166612,100,100
100000,0.07059,0.05,201,0.00307154,0.00282596,100,100
100000,0.11882,0.5,20,0.00059293,0.000857850000000001,83,93
100000,0.11882,0.45,23,0.00058581,0.00074731,87,97
100000,0.11882,0.4,25,0.0006149,0.00072027,92,96
100000,0.11882,0.35,29,0.00063925,0.00072057,94,97
100000,0.11882,0.3,34,0.00067373,0.00070405,98,100
100000,0.11882,0.25,40,0.00072596,0.00071287,99,100
100000,0.11882,0.2,50,0.0008235,0.00085126,99,100
100000,0.11882,0.15,67,0.00107857,0.00107549,100,100
100000,0.11882,0.1,101,0.001602,0.00159525,100,100
100000,0.11882,0.05,201,0.00301205,0.00273939,100,100
100000,0.12046,0.5,20,0.00061717,0.00079765,84,96
100000,0.12046,0.45,23,0.00059694,0.00078298,92,95
100000,0.12046,0.4,25,0.00060666,0.0007563,95,95
100000,0.12046,0.35,29,0.00062849,0.0008141,97,96
100000,0.12046,0.3,34,0.00066235,0.00078307,95,96
100000,0.12046,0.25,40,0.00071555,0.00073955,99,100
100000,0.12046,0.2,50,0.00080793,0.00082506,99,100
