dimension,num_points,delta,epsilon,accuracy_pct,LS_time_sec,avg_sample_time_sec,coefficient
10,10000,0.8,0.35,55,1.495978,0.00089408,1673.20374015748
10,10000,0.8,0.3,80,1.495978,0.00082564,1811.90107068456
10,10000,0.8,0.25,90,1.495978,0.00094905,1576.28997418471
10,10000,0.8,0.2,100,1.495978,0.0010934,1368.18913480885
10,10000,0.8,0.15,100,1.495978,0.00154086,970.872110379918
10,10000,0.8,0.1,100,1.495978,0.00303003,493.717223921875
10,10000,0.8,0.05,100,1.495978,0.01834221,81.5593104647695
10,10000,0.9,0.5,3,1.521457,0.00070773,2149.77039266387
10,10000,0.9,0.45,8,1.521457,0.00070707,2151.77705177705
10,10000,0.9,0.4,21,1.521457,0.00075676,2010.48813362229
10,10000,0.9,0.35,27,1.521457,0.00079509,1913.56575985109
10,10000,0.9,0.3,46,1.521457,0.00085271,1784.26076860832
10,10000,0.9,0.25,66,1.521457,0.00092171,1650.68947933732
10,10000,0.9,0.2,76,1.521457,0.00112755,1349.34770076715
10,10000,0.9,0.15,97,1.521457,0.00160991,945.05717710928
10,10000,0.9,0.1,100,1.521457,0.00314868,483.204708004624
10,10000,0.9,0.05,100,1.521457,0.01862383,81.6940983675216
10,10000,0.95,0.5,1,1.483087,0.00069917,2121.21086431054
10,10000,0.95,0.45,1,1.483087,0.000712340000000001,2081.9931493388
10,10000,0.95,0.4,7,1.483087,0.00077016,1925.68687026073
10,10000,0.95,0.35,13,1.483087,0.00079563,1864.04107436874
10,10000,0.95,0.3,26,1.483087,0.00089233,1662.038707653
10,10000,0.95,0.25,28,1.483087,0.00094594,1567.84468359515
10,10000,0.95,0.2,60,1.483087,0.00113985,1301.12470939159
10,10000,0.95,0.15,69,1.483087,0.0015813,937.890975779422
10,10000,0.95,0.1,94,1.483087,0.00332656,445.832030686355
10,10000,0.95,0.05,100,1.483087,0.01796782,82.5412877021252
10,10000,1,0.5,0,5.793822,0.00069144,8379.35612634502
10,10000,1,0.45,0,5.793822,0.00070501,8218.07066566431
10,10000,1,0.4,0,5.793822,0.00072509,7990.48669820298
10,10000,1,0.35,0,5.793822,0.00075558,7668.04573969666
10,10000,1,0.3,0,5.793822,0.00085484,6777.66833559497
10,10000,1,0.25,0,5.793822,0.00089252,6491.5318424237
10,10000,1,0.2,0,5.793822,0.00119808,4835.92247596154
10,10000,1,0.15,0,5.793822,0.00150931,3838.72233007136
10,10000,1,0.1,0,5.793822,0.00297678,1946.33866123798
10,10000,1,0.05,0,5.793822,0.01635653,354.22073019155
10,20000,0.6,0.5,27,4.523224,0.00070518,6414.28287813041
10,20000,0.6,0.45,51,4.523224,0.0007576,5970.464625132
10,20000,0.6,0.4,69,4.523224,0.00073981,6114.03468458118
10,20000,0.6,0.35,84,4.523224,0.00079554,5685.72793322775
10,20000,0.6,0.3,98,4.523224,0.00083141,5440.42530159608
10,20000,0.6,0.25,100,4.523224,0.000925890000000001,4885.27146853298
10,20000,0.6,0.2,100,4.523224,0.00105505,4287.21292829724
10,20000,0.6,0.15,100,4.523224,0.0015795,2863.70623615068
10,20000,0.6,0.1,100,4.523224,0.00300321,1506.12977447465
10,20000,0.6,0.05,100,4.523224,0.01892601,238.99511835828
10,20000,0.7,0.5,23,4.572131,0.0006953,6575.76729469293
10,20000,0.7,0.45,39,4.572131,0.00071857,6362.81921037617
10,20000,0.7,0.4,58,4.572131,0.00074283,6155.01662560747
10,20000,0.7,0.35,78,4.572131,0.00081061,5640.35849545404
10,20000,0.7,0.3,92,4.572131,0.00089096,5131.690536051
10,20000,0.7,0.25,96,4.572131,0.00091476,4998.17547772093
10,20000,0.7,0.2,100,4.572131,0.00107146,4267.19709555187
10,20000,0.7,0.15,100,4.572131,0.00165087,2769.52818816745
10,20000,0.7,0.1,100,4.572131,0.00304848,1499.80678895712
10,20000,0.7,0.05,100,4.572131,0.01887604,242.218759867006
10,20000,0.8,0.5,11,4.513457,0.00074478,6060.12110958941
10,20000,0.8,0.45,25,4.513457,0.00073199,6166.00909848495
10,20000,0.8,0.4,34,4.513457,0.00078242,5768.58592571764
10,20000,0.8,0.35,60,4.513457,0.00082956,5440.7842711799
10,20000,0.8,0.3,81,4.513457,0.00083331,5416.30005640158
10,20000,0.8,0.25,94,4.513457,0.00093041,4851.0409389409
10,20000,0.8,0.2,98,4.513457,0.00115237,3916.67346425193
10,20000,0.8,0.15,100,4.513457,0.00157761,2860.94598791843
10,20000,0.8,0.1,100,4.513457,0.002876,1569.35222531293
10,20000,0.8,0.05,100,4.513457,0.02000734,225.590058448549
10,20000,0.9,0.5,5,5.106584,0.00072969,6998.29242555057
