dimension,num_points,delta,epsilon,accuracy_pct,LS_time_sec,avg_sample_time_sec,coefficient
20,30000,0.9,0.45,6,17.0121,0.00113009,15053.7567804334
20,30000,0.9,0.4,18,17.0121,0.00137654,12358.5947375303
20,30000,0.9,0.35,30,17.0121,0.00164226,10358.9565598626
20,30000,0.9,0.3,46,17.0121,0.00200253,8495.30344114695
20,30000,0.9,0.25,87,17.0121,0.00251964,6751.79787588703
20,30000,0.9,0.2,97,17.0121,0.00380766,4467.86215155765
20,30000,0.9,0.15,100,17.0121,0.00672161,2530.95612509503
20,30000,0.9,0.1,100,17.0121,0.02358733,721.238902410744
20,30000,0.9,0.05,100,17.0121,0.95448295,17.8233670910518
20,30000,1,0.5,0,92.531943,0.00101922,90787.0165420616
20,30000,1,0.45,0,92.531943,0.00107314,86225.4160687329
20,30000,1,0.4,0,92.531943,0.00113796,81313.8801012338
20,30000,1,0.35,0,92.531943,0.00136867,67607.1974983013
20,30000,1,0.3,0,92.531943,0.00170522,54263.9325131068
20,30000,1,0.25,0,92.531943,0.00202422,45712.3944037703
20,30000,1,0.2,0,92.531943,0.0029024,31881.1821251378
20,30000,1,0.15,0,92.531943,0.00527314,17547.7880352124
20,30000,1,0.1,0,92.531943,0.01413324,6547.11467434219
20,30000,1,0.05,0,92.531943,0.10852359,852.643586523446
50,30000,0.6,0.5,27,54.10557,0.00538354,10050.1844511232
50,30000,0.6,0.45,77,54.10557,0.00715921,7557.47771052951
50,30000,0.6,0.4,97,54.10557,0.00879915000000001,6148.95416034503
50,30000,0.6,0.35,100,54.10557,0.01149427,4707.17757630541
50,30000,0.6,0.3,100,54.10557,0.01710885,3162.43172393235
50,30000,0.6,0.25,100,54.10557,0.02541664,2128.74597114331
50,30000,0.6,0.2,100,54.10557,0.05540991,976.460167504333
50,30000,0.6,0.15,100,54.10557,0.35697725,151.56587709721
50,30000,0.6,0.1,100,54.10557,0.05291795,1022.44266831954
50,30000,0.6,0.05,100,54.10557,0.13764292,393.086473318061
50,30000,0.7,0.5,16,56.809329,0.00548762,10352.2709298384
50,30000,0.7,0.45,59,56.809329,0.0071074,7992.9832287475
50,30000,0.7,0.4,88,56.809329,0.00887127,6403.74253066359
50,30000,0.7,0.35,99,56.809329,0.01154368,4921.24946290958
50,30000,0.7,0.3,100,56.809329,0.01587188,3579.24385769046
50,30000,0.7,0.25,100,56.809329,0.02550671,2227.23075614221
50,30000,0.7,0.2,100,56.809329,0.0642867400000001,883.686573623113
50,30000,0.7,0.15,100,56.809329,0.35492147,160.061686321766
50,30000,0.7,0.1,100,56.809329,0.05480991,1036.47915130676
50,30000,0.7,0.05,100,56.809329,0.13161745,431.624598410013
50,30000,0.8,0.5,3,56.884509,0.00466032,12206.1379905243
50,30000,0.8,0.45,24,56.884509,0.00629873,9031.10769948863
50,30000,0.8,0.4,64,56.884509,0.00901409,6310.62137165261
