filename,sep_degree,epsilon,sample_size,correct_guesses
1000_0.014000_4245.csv,0.014,0.41,8,0
1000_0.014000_4245.csv,0.014,0.46,7,0
1000_0.015000_7800.csv,0.015,0.01,300,98
1000_0.015000_7800.csv,0.015,0.06,50,8
1000_0.015000_7800.csv,0.015,0.11,28,4
1000_0.015000_7800.csv,0.015,0.16,19,0
1000_0.015000_7800.csv,0.015,0.21,15,0
1000_0.015000_7800.csv,0.015,0.26,12,0
1000_0.015000_7800.csv,0.015,0.31,10,0
1000_0.015000_7800.csv,0.015,0.36,9,0
1000_0.015000_7800.csv,0.015,0.41,8,0
1000_0.015000_7800.csv,0.015,0.46,7,0
1000_0.022000_1715.csv,0.022,0.01,300,100
1000_0.022000_1715.csv,0.022,0.06,50,14
1000_0.022000_1715.csv,0.022,0.11,28,4
1000_0.022000_1715.csv,0.022,0.16,19,0
1000_0.022000_1715.csv,0.022,0.21,15,1
1000_0.022000_1715.csv,0.022,0.26,12,0
1000_0.022000_1715.csv,0.022,0.31,10,0
1000_0.022000_1715.csv,0.022,0.36,9,0
1000_0.022000_1715.csv,0.022,0.41,8,0
1000_0.022000_1715.csv,0.022,0.46,7,0
1000_0.026000_4739.csv,0.026,0.01,300,100
1000_0.026000_4739.csv,0.026,0.06,50,48
1000_0.026000_4739.csv,0.026,0.11,28,24
1000_0.026000_4739.csv,0.026,0.16,19,9
1000_0.026000_4739.csv,0.026,0.21,15,3
1000_0.026000_4739.csv,0.026,0.26,12,5
1000_0.026000_4739.csv,0.026,0.31,10,1
1000_0.026000_4739.csv,0.026,0.36,9,2
1000_0.026000_4739.csv,0.026,0.41,8,2
1000_0.026000_4739.csv,0.026,0.46,7,1
1000_0.056000_4942.csv,0.056,0.01,300,100
1000_0.056000_4942.csv,0.056,0.06,50,75
1000_0.056000_4942.csv,0.056,0.11,28,41
1000_0.056000_4942.csv,0.056,0.16,19,30
1000_0.056000_4942.csv,0.056,0.21,15,10
1000_0.056000_4942.csv,0.056,0.26,12,11
1000_0.056000_4942.csv,0.056,0.31,10,1
1000_0.056000_4942.csv,0.056,0.36,9,4
1000_0.056000_4942.csv,0.056,0.41,8,1
1000_0.056000_4942.csv,0.056,0.46,7,1
1000_0.088000_6807.csv,0.088,0.01,300,100
1000_0.088000_6807.csv,0.088,0.06,50,96
1000_0.088000_6807.csv,0.088,0.11,28,69
