filename,sep_degree,epsilon,sample_size,correct_guesses
1000_0.000000_1677.csv,0,0.01,600,100
1000_0.000000_1677.csv,0,0.06,100,100
1000_0.000000_1677.csv,0,0.11,56,100
1000_0.000000_1677.csv,0,0.16,38,100
1000_0.000000_1677.csv,0,0.21,30,100
1000_0.000000_1677.csv,0,0.26,24,100
1000_0.000000_1677.csv,0,0.31,20,100
1000_0.000000_1677.csv,0,0.36,18,100
1000_0.000000_1677.csv,0,0.41,16,100
1000_0.000000_1677.csv,0,0.46,14,100
1000_0.000000_5988.csv,0,0.01,600,100
1000_0.000000_5988.csv,0,0.06,100,100
1000_0.000000_5988.csv,0,0.11,56,100
1000_0.000000_5988.csv,0,0.16,38,100
1000_0.000000_5988.csv,0,0.21,30,100
1000_0.000000_5988.csv,0,0.26,24,100
1000_0.000000_5988.csv,0,0.31,20,100
1000_0.000000_5988.csv,0,0.36,18,100
1000_0.000000_5988.csv,0,0.41,16,100
1000_0.000000_5988.csv,0,0.46,14,100
1000_0.001000_3938.csv,0.001,0.01,600,0
1000_0.001000_3938.csv,0.001,0.06,100,0
1000_0.001000_3938.csv,0.001,0.11,56,0
1000_0.001000_3938.csv,0.001,0.16,38,0
1000_0.001000_3938.csv,0.001,0.21,30,0
1000_0.001000_3938.csv,0.001,0.26,24,0
1000_0.001000_3938.csv,0.001,0.31,20,0
1000_0.001000_3938.csv,0.001,0.36,18,0
1000_0.001000_3938.csv,0.001,0.41,16,0
1000_0.001000_3938.csv,0.001,0.46,14,0
1000_0.001000_4287.csv,0.001,0.01,600,62
1000_0.001000_4287.csv,0.001,0.06,100,5
1000_0.001000_4287.csv,0.001,0.11,56,1
1000_0.001000_4287.csv,0.001,0.16,38,0
1000_0.001000_4287.csv,0.001,0.21,30,0
1000_0.001000_4287.csv,0.001,0.26,24,0
1000_0.001000_4287.csv,0.001,0.31,20,0
1000_0.001000_4287.csv,0.001,0.36,18,0
1000_0.001000_4287.csv,0.001,0.41,16,0
1000_0.001000_4287.csv,0.001,0.46,14,0
1000_0.001000_6513.csv,0.001,0.01,600,0
